Year,Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
2024,21,Fairmont St. (MEC),40,13,0,0.755,47,1285,425,0.331,368,145,107,2.04,1034,367,41
2024,22,Central Okla. (Mid-America Intercollegiate),43,14,0,0.754,54,1528,505,0.33,366.2,142,107,2.04,1063,323,41
2024,23,Okla. Baptist (GAC),41,14,0,0.745,66,1738,574,0.33,352,140,104,2.07,1020,362,41
2024,24,Lenoir-Rhyne (SAC),52,18,0,0.743,57,1593,526,0.33,293,138,87,2.08,995,251,37
2024,25,Wilmington (DE) (CACC),46,16,0,0.742,53,1472,486,0.33,380.1,159,116,2.13,1043,399,43
2024,26,CUI (PacWest),39,14,0,0.736,42,1167,383,0.328,347,181,106,2.14,1170,370,46
2024,26,Nova Southeastern (Sunshine State),39,14,0,0.736,42,1167,383,0.328,347,181,106,2.14,1170,370,46
2024,28,Minn. Duluth (NSIC),41,15,0,0.732,37,968,314,0.324,346,124,109,2.21,1192,425,49
2024,29,East Stroudsburg (PSAC),46,17,0,0.73,47,1258,408,0.324,409.2,157,131,2.24,1036,378,43
2024,30,Concordia-St. Paul (NSIC),37,14,0,0.725,58,1518,492,0.324,405.2,155,130,2.24,1219,447,51
2024,31,Minnesota St. (NSIC),39,16,0,0.709,52,1392,448,0.322,354.1,142,114,2.25,1109,348,45
2024,32,Hillsdale (G-MAC),34,14,0,0.708,70,1913,615,0.321,306.1,132,101,2.31,1141,374,47
2024,33,MSU Denver (RMAC),43,18,0,0.705,59,1629,521,0.32,410.1,185,138,2.35,943,342,40
2024,34,Lewis (GLVC),40,17,0,0.702,59,1612,514,0.319,356,137,120,2.36,1046,398,45
2024,34,Southern Nazarene (GAC),40,17,0,0.702,59,1612,514,0.319,356,137,120,2.36,1046,398,45
2024,36,Ohio Dominican (G-MAC),35,15,0,0.7,50,1437,457,0.318,393,178,134,2.39,1365,481,58
2024,37,Mount Olive (Conference Carolinas),36,16,0,0.692,57,1488,473,0.318,360.1,155,123,2.39,1035,396,46
2024,37,West Florida (Gulf South),36,16,0,0.692,57,1488,473,0.318,360.1,155,123,2.39,1035,396,46
